	indprod	trend
2000K3	89.9	100.2
2000K4	107.4	99.8
2001K1	100.5	98.7
2001K2	98.2	97.8
2001K3	88.5	97.9
2001K4	104.4	98.2
2002K1	100.2	98.5
2002K2	99.8	98
2002K3	87.9	97.4
2002K4	104.5	98.4
2003K1	99.9	98.7
2003K2	101.9	99.3
2003K3	90.6	100
2003K4	106.4	101.1
2004K1	104.8	103.1
2004K2	106.7	103.9
2004K3	94.6	104.8
2004K4	110.5	105
2005K1	107.9	104.8
2005K2	108.2	106.5
2005K3	96.9	108
2005K4	113.2	107.9
2006K1	110.9	108.5
2006K2	112.3	109.2
2006K3	98.9	110
2006K4	119.4	112.8
2007K1	117.1	114.9
2007K2	117.3	114.7
2007K3	102.9	113.8
2007K4	121.8	115.7
2008K1	118.7	116.7
2008K2	117	114.8
2008K3	102.2	111.6
2008K4	107.4	103.6
2009K1	94.2	92.9
2009K2	91.8	90.5
2009K3	83.8	91
2009K4	96.1	92.1
2010K1	95.6	94.5
2010K2	101.9	99.2
2010K3	93.1	101.4
2010K4	107.2	102.6
2011K1	104.9	103.8
2011K2	104.3	102.3
2011K3	93.7	101.4
2011K4	105	100.4
2012K1	101.6	99.6
2012K2	104.3	101.4
2012K3	93.3	101.3
2012K4	103.8	99
2013K1	98.2	97.1
2013K2	97.4	95.6
2013K3	88.6	95.6
2013K4	100.3	96.8
2014K1	97.1	96.6
2014K2	96.5	94.8
2014K3	85.7	93.5
2014K4	98.7	93.5
2015K1	94.2	94.5
2015K2	99.5	96.3
